Brand,Model,km_driven,Owner,Mfg_year,Fuel_type,Mileage,Transmission,Price(lakh)
Volkswagen,Polo,"65,000",First,2016,Petrol,17.21,Automatic,6.25
Hyundai,Elite,"20,000",First,2017,Petrol,18.6,Manual,5.91
Mahindra,XUV500,"87,000",First,2016,Diesel,16,Manual,9.75
Maruti,Suzuki,"49,000",First,2012,Petrol,16,Manual,9.75
Hyundai,Creta,"45,000",First,2016,Petrol,15.29,Manual,9.11
Honda,Jazz,"27,000",First,2017,Petrol,19,Automatic,6.51
BMW,7,"28,000",First,2017,Diesel,11.1,Automatic,68.95
Honda,Mobilio,"47,800",First,2015,Petrol,17.3,Manual,5.75
Hyundai,Elantra,"55,000",Second,2014,Petrol,16.3,Manual,5.31
Skoda,Superb,"27,500",First,2015,Petrol,13.1,Automatic,9.49
Hyundai,Creta,"48,000",First,2016,Petrol,15.29,Automatic,10.25
Maruti,Suzuki,"44,000",Second,2015,Petrol,19.12,Automatic,6.25
Hyundai,Creta,"12,000",First,2018,Petrol,15.29,Manual,11.75
Kia,Sonet,"18,000",First,2020,Diesel,24.1,FWD,11.75
Mahindra,XUV500,"63,000",First,2018,Diesel,16,Manual,13.35
MG,Astor,"22,000",First,2021,Petrol,220,Automatic,17.75
Kia,Seltos,"14,000",First,2020,Petrol,16.5,Automatic,17.75
Kia,Seltos,"17,000",First,2020,Diesel,18,Automatic,17.75
BMW,6,"31,000",First,2018,Diesel,RWD,BS,59.5
BMW,7,"31,000",First,2018,Diesel,16.77,Automatic,59.5
Kia,Seltos,"14,000",First,2020,Petrol,16.5,Automatic,59.5
Kia,Seltos,"17,000",First,2020,Diesel,18,Automatic,59.5
BMW,6,"31,000",First,2018,Diesel,RWD,BS,59.5
BMW,7,"31,000",First,2018,Diesel,16.77,Automatic,59.5
Toyota,Innova,"1,01,556",First,2018,Diesel,14.29,Automatic,19.5
Maruti,Suzuki,"44,663",First,2017,CNG,58,FWD,4.75
Maruti,Suzuki,"5,303",First,2016,CNG,58,FWD,4.75
Maruti,Suzuki,"25,198",First,2019,Petrol,20.52,FWD,4.75
Hyundai,Grand,"44,288",First,2015,Petrol,16.95,Automatic,5.25
Skoda,Superb,"67,000",Second,2014,Petrol,13.1,Automatic,7.7
Skoda,Octavia,"48,500",First,2016,Diesel,19.3,Automatic,11.95
Maruti,Suzuki,"24,000",First,2019,Diesel,28.4,Manual,8.99
Renault,Duster,"59,000",First,2015,Diesel,20.45,Manual,6.29
MG,Hector,"27,000",First,2020,Petrol,13.96,BS,17.29
BMW,5,"60,224",First,2012,Diesel,17.24,Automatic,15.75
Mercedes-Benz,C-Class,"67,000",Second,2015,Diesel,19.27,Automatic,22.99
Mercedes-Benz,CLA,"57,000",First,2017,Petrol,FWD,Turbocharged,22.99
Mercedes-Benz,M-Class,"64,000",Second,2013,Diesel,AWD,Turbocharged,22.49
Honda,Brio,"39,000",First,2014,Petrol,19.4,Manual,3.51
Hyundai,Elite,"56,000",First,2014,Petrol,18.6,Manual,5.45
Toyota,Urban,"33,000",First,2020,Petrol,17,FWD,9.2
BMW,X1,"55,000",First,2017,Diesel,FWD,BS,22.51
Toyota,Innova,"61,900",Second,2019,Diesel,14.29,Automatic,18.99
Maruti,Suzuki,"41,000",First,2018,CNG,24.59,Manual,8.75
BMW,5,"60,224",First,2012,Diesel,17.24,Automatic,15.75
Maruti,Suzuki,"78,000",First,2017,Diesel,27.39,Manual,7.29
Toyota,Yaris,"23,000",First,2018,Petrol,17.1,Manual,7.89
Skoda,Octavia,"56,300",First,2018,Petrol,15.1,Automatic,16.99
Hyundai,Elite,"46,000",First,2016,Petrol,18.6,Manual,5.3
Mahindra,Thar,"9,000",First,2022,Diesel,4WD,BS,18.75
Mercedes-Benz,M-Class,"64,000",Second,2013,Diesel,AWD,Turbocharged,22.49
Mercedes-Benz,C-Class,"67,000",Second,2015,Diesel,19.27,Automatic,22.99
Mercedes-Benz,CLA,"57,000",First,2017,Petrol,FWD,Turbocharged,22.99
MG,Hector,"27,000",First,2020,Petrol,13.96,BS,17.29
Toyota,Land,"90,000",First,2020,Diesel,AWD,Turbocharged,91
Honda,Amaze,"52,000",First,2015,Petrol,17.8,Manual,4.65
BMW,X3,"27,120",First,2017,Diesel,16.09,Automatic,33.99
Tata,Harrier,"28,000",First,2020,Diesel,16.3,FWD,16.75
Toyota,Corolla,"99,000",First,2012,Petrol,15.23,Manual,3.69
Maruti,Suzuki,"24,000",First,2019,Diesel,28.4,Manual,8.99
MG,Hector,"27,000",First,2020,Petrol,13.96,BS,17.29
BMW,X3,"27,120",First,2017,Diesel,16.09,Automatic,33.99
Hyundai,Elite,"46,000",First,2016,Petrol,18.6,Manual,5.3
Skoda,Octavia,"56,300",First,2018,Petrol,15.1,Automatic,16.99
Mahindra,Thar,"9,000",First,2022,Diesel,4WD,BS,18.75
Toyota,Land,"90,000",First,2020,Diesel,AWD,Turbocharged,91
Maruti,Suzuki,"50,000",First,2012,Petrol,15,3539,2.95
Mercedes-Benz,GLA,"98,000",Second,2018,Diesel,FWD,BS,24.25
Renault,Duster,"59,000",First,2015,Diesel,20.45,Manual,6.29
Maruti,Suzuki,"49,000",First,2019,CNG,31.79,Manual,5.19
Honda,Jazz,"47,000",First,2016,Petrol,19,Automatic,4.99
Honda,Jazz,"42,000",Second,2016,Petrol,19,Automatic,5.85
Toyota,Innova,"1,10,000",First,2016,Diesel,14.29,Automatic,15.99
Honda,Amaze,"52,000",First,2015,Petrol,17.8,Manual,4.65
Honda,Jazz,"42,000",Second,2016,Petrol,19,Automatic,5.85
Toyota,Innova,"1,10,000",First,2016,Diesel,14.29,Automatic,15.99
Maruti,Suzuki,"50,000",First,2012,Petrol,15,3539,2.95
Maruti,Suzuki,"32,000",First,2017,Petrol,19.12,Automatic,7.75
Maruti,Suzuki,"48,000",First,2015,Petrol,20.729999542236328,Manual,5.75
Skoda,Octavia,"4,000",First,2021,Petrol,320,791,28.85
Volkswagen,Tiguan,"58,000",First,2019,Diesel,16.65,Automatic,26.75
Mercedes-Benz,M-Class,"68,000",Second,2013,Diesel,AWD,Turbocharged,22.75
Honda,City,"12,000",First,2020,Petrol,18,Automatic,12.65
Mercedes-Benz,C-Class,"55,000",Second,2014,Diesel,14.83,Automatic,12.75
Hyundai,Creta,"46,686",First,2016,Petrol,15.29,Manual,7.85
Jaguar,XE,"42,099",First,2017,Petrol,13.06,Automatic,24.25
Audi,Q7,"52,000",First,2015,Diesel,12.07,Automatic,29.25
Honda,City,"22,000",First,2020,Petrol,18,FWD,15.5
Maruti,Suzuki,"51,403",First,2016,Petrol,19.12,Automatic,7.45
Maruti,Suzuki,"47,879",Second,2016,Petrol,19.12,Automatic,6.75
BMW,3,"63,000",First,2018,Petrol,16.05,Automatic,25.5
BMW,X3,"50,000",First,2017,Diesel,18.56,Automatic,31.5
Toyota,Etios,"34,000",First,2014,Petrol,FWD,3775,3.4
Maruti,Suzuki,"63,000",First,2015,Diesel,22.9,Manual,5.4
Mercedes-Benz,A-Class,"78,000",Third,2014,Diesel,20.06,Automatic,9.75
BMW,X3,"50,000",First,2017,Diesel,18.56,Automatic,31.5
Toyota,Etios,"34,000",First,2014,Petrol,FWD,3775,3.4
Maruti,Suzuki,"63,000",First,2015,Diesel,22.9,Manual,5.4
Hyundai,Creta,"35,200",Second,2017,Petrol + CNG,15.29,Automatic,9.3
Toyota,Innova,"59,000",First,2019,Diesel,14.29,Automatic,19.5
Volkswagen,Taigun,"3,265",First,2022,Petrol,178,861,16.25
Hyundai,Creta,"76,000",First,2016,Diesel,17.01,Automatic,10.85
Mercedes-Benz,C-Class,"19,000",First,2017,Petrol,14.74,Automatic,27.75
Audi,A3,"53,000",First,2015,Diesel,FWD,Turbocharged,13
Volkswagen,Polo,"35,000",First,2016,Petrol,16.47,Manual,5.55
Audi,Q7,"70,000",First,2017,Diesel,14.75,Automatic,5.55
MG,Hector,"39,000",First,2019,Petrol,13.96,BS,15.95
Mahindra,Thar,"42,000",First,2014,Diesel,13.28,4WD,6.75
Mercedes-Benz,GL,"1,08,000",Second,2012,Diesel,Automatic,1920,21.95
Maruti,Suzuki,"23,593",First,2018,Petrol,20.73,Manual,7.9
Volkswagen,Vento,"23,800",First,2020,Petrol,16.3,FWD,10.75
Ford,Endeavour,"56,996",First,2020,Diesel,12.4,4WD,36.5
Ford,EcoSport,"59,000",First,2017,Diesel,22.27,Manual,7.39
Maruti,Suzuki,"54,000",First,2018,CNG,58,FWD,5
Hyundai,Venue,"44,216",First,2019,Petrol,FWD,BS,7.99
Maruti,Suzuki,"28,000",First,2019,Petrol,19.01,FWD,7.99
Maruti,Suzuki,"69,000",First,2014,LPG,58,FWD,3.85
Maruti,Suzuki,"23,593",First,2018,Petrol,20.73,Manual,7.9
MG,Hector,"39,000",First,2019,Petrol,13.96,BS,15.95
Mahindra,Thar,"42,000",First,2014,Diesel,13.28,4WD,6.75
Mercedes-Benz,GL,"1,08,000",Second,2012,Diesel,Automatic,1920,21.95
Audi,A3,"53,000",First,2015,Diesel,FWD,Turbocharged,13
Volkswagen,Vento,"23,800",First,2020,Petrol,16.3,FWD,10.75
Ford,Endeavour,"56,996",First,2020,Diesel,12.4,4WD,36.5
Ford,EcoSport,"59,000",First,2017,Diesel,22.27,Manual,7.39
Tata,Nexon,"24,900",First,2020,Petrol,16.3,FWD,11.49
Maruti,Suzuki,"28,000",First,2019,Petrol,19.01,FWD,11.49
Maruti,Suzuki,"69,000",First,2014,LPG,58,FWD,3.85
Mercedes-Benz,CLA,"23,000",First,2016,Diesel,FWD,Turbocharged,22.5
Hyundai,Venue,"44,216",First,2019,Petrol,FWD,BS,7.99
Honda,Jazz,"55,000",First,2015,Petrol,18.7,Manual,4.49
Mahindra,Thar,"12,000",First,2021,Petrol,4WD,BS,16.9
Hyundai,Creta,"32,000",First,2017,Petrol,15.29,Automatic,10.75
Mercedes-Benz,E-Class,"9,100",First,2021,Diesel,12.06,Automatic,79.85
Hyundai,Creta,"35,200",Second,2017,Petrol + CNG,15.29,Automatic,9.3
Skoda,Rapid,"47,018",First,2013,Petrol,FWD,4386,4.11
Maruti,Suzuki,"54,000",First,2018,CNG,58,FWD,5
Maruti,Suzuki,"20,000",First,2020,Petrol,21.4,Manual,7.49
Skoda,Rapid,"47,018",First,2013,Petrol,FWD,4386,4.11
Maruti,Suzuki,"54,000",First,2018,CNG,58,FWD,5
Maruti,Suzuki,"20,000",First,2020,Petrol,21.4,Manual,7.49
Maruti,Suzuki,"50,000",First,2018,Petrol,19.12,Automatic,7.19
Toyota,Corolla,"10,48,000",First,2015,Petrol,16.7,Automatic,8.49
Renault,Duster,"61,000",First,2013,Diesel,19.01,Manual,4.49
Mahindra,XUV500,"58,000",First,2018,Diesel,15.1,Automatic,13.5
Volkswagen,Polo,"85,000",First,2016,Petrol,17.21,Automatic,5.49
Hyundai,i10,"28,000",First,2016,Petrol,20.63,Manual,3.95
Maruti,Suzuki,"9,000",First,2020,Petrol,20.5,AMT,6.35
Mercedes-Benz,E-Class,"43,000",Second,2013,Diesel,14.2,Automatic,17.5
BMW,5,"54,000",Second,2015,Diesel,18.12,Automatic,23.5
Land,Rover,"1,45,000",First,2016,Diesel,Automatic,Idle,31
Hyundai,Xcent,"41,600",First,2015,Petrol,16.1,Automatic,5.4
Volkswagen,Polo,"35,000",First,2016,Petrol,16.47,Manual,5.55
Maruti,Suzuki,"9,660",First,2017,Diesel,24.29,Manual,8.79
Renault,Duster,"56,000",First,2016,Petrol,13.05,Manual,5.5
Renault,Duster,"56,000",First,2016,Petrol,13.05,Manual,5.5
Skoda,Superb,"86,000",First,2013,Petrol,13.1,Automatic,6
Maruti,Suzuki,"9,000",First,2020,Petrol,20.5,AMT,6.35
Ford,EcoSport,"52,655",First,2016,Petrol,15.6,Automatic,6.25
Skoda,Rapid,"41,000",First,2017,Petrol,15,Manual,6.31
Skoda,Octavia,"50,300",First,2015,Petrol,14.7,Automatic,8.61
Hyundai,Creta,"39,600",Second,2017,Petrol,15.29,Automatic,9.95
Mercedes-Benz,E-Class,"43,000",Second,2013,Diesel,14.2,Automatic,17.5
BMW,5,"54,000",Second,2015,Diesel,18.12,Automatic,23.5
Land,Rover,"1,45,000",First,2016,Diesel,Automatic,Idle,31
Maruti,Suzuki,"18,000",First,2019,Diesel,28.4,Manual,7.25
Toyota,Innova,"48,000",First,2017,Diesel,15.1,Manual,16.7
Hyundai,Grand,"5,000",First,2021,Petrol,21,FWD,7.45
Hyundai,Creta,"25,000",First,2016,Petrol,15.29,Manual,7.85
Toyota,Urban,"14,000",First,2021,Petrol,18.7,FWD,10.9
Ford,EcoSport,"46,000",First,2017,Petrol,14.8,Automatic,6.7
Honda,Amaze,"46,000",First,2016,Petrol,18.1,Automatic,5.95
Hyundai,Creta,"45,000",First,2017,Diesel,17.01,Automatic,11.45
Mercedes-Benz,GLA,"32,000",First,2018,Diesel,4WD,BS,27.9
Hyundai,Creta,"36,000",First,2016,Petrol,15.29,Automatic,9.99
MG,Hector,"7,000",First,2021,Petrol,13.96,BS,18.99
Mercedes-Benz,CLA,"21,000",First,2018,Diesel,FWD,Turbocharged,28.9
Mercedes-Benz,GLA,"32,000",First,2018,Diesel,4WD,BS,27.9
Hyundai,Creta,"36,000",First,2016,Petrol,15.29,Automatic,9.99
MG,Hector,"7,000",First,2021,Petrol,13.96,BS,18.99
Mercedes-Benz,CLA,"21,000",First,2018,Diesel,FWD,Turbocharged,28.9
Mercedes-Benz,S-Class,"37,000",First,2017,Petrol,Automatic,Idle,1.11
Kia,Seltos,"11,001",First,2020,Petrol,16.5,FWD,17.99
Honda,Jazz,"53,740",First,2016,Petrol,18.7,Manual,4.84
Hyundai,Elite,"64,447",First,2014,Petrol,18.6,Manual,5.08
Maruti,Suzuki,"58,849",First,2014,Petrol,18.5,Manual,3.92
Mahindra,XUV300,"9,583",First,2021,Petrol,Manual,Turbocharged,9.89
Hyundai,Elite,"46,410",First,2017,Petrol,18.6,Manual,5.42
Maruti,Suzuki,"9,663",First,2021,CNG,31.5,Manual,4.13
Maruti,Suzuki,"63,300",First,2018,LPG,58,FWD,4.55
Tata,Harrier,"49,609",First,2019,Diesel,FWD,BS,14.85
Honda,Civic,"46,997",First,2020,Petrol,16.5,FWD,18.91
Hyundai,Elite,"29,302",Second,2017,Petrol,18.6,Manual,5.64
Toyota,Urban,"15,580",Second,2020,Petrol,18.76,FWD,10.85
Hyundai,Grand,"18,128",First,2019,Petrol,18.9,Manual,5.71
Volkswagen,Polo,"11,585",First,2019,Petrol,18.78,Manual,6.93
Hyundai,Grand,"54,002",First,2020,Petrol,21,FWD,6.62
Maruti,Suzuki,"47,183",First,2017,Petrol,20.4,Manual,4.96
Maruti,Suzuki,"40,723",First,2013,Petrol,18.5,Manual,3.74
Maruti,Suzuki,"9,668",First,2018,Petrol,20.89,FWD,5.35
Maruti,Suzuki,"46,138",First,2014,Petrol,23.1,Manual,3.6
Toyota,Urban,"15,580",Second,2020,Petrol,18.76,FWD,10.85
Hyundai,Grand,"18,128",First,2019,Petrol,18.9,Manual,5.71
Volkswagen,Polo,"11,585",First,2019,Petrol,18.78,Manual,6.93
Hyundai,Grand,"54,002",First,2020,Petrol,21,FWD,6.62
Maruti,Suzuki,"47,183",First,2017,Petrol,20.4,Manual,4.96
Maruti,Suzuki,"40,723",First,2013,Petrol,18.5,Manual,3.74
Maruti,Suzuki,"9,668",First,2018,Petrol,20.89,FWD,5.35
Maruti,Suzuki,"46,138",First,2014,Petrol,23.1,Manual,3.6
Hyundai,Creta,"32,524",Second,2016,Petrol,15.29,Automatic,9.59
Maruti,Suzuki,"45,011",First,2016,Petrol,19.12,Automatic,6.48
Volkswagen,Polo,"39,331",First,2016,Petrol,17.21,Automatic,6.53
Toyota,Corolla,"59,790",First,2016,Petrol,16.7,Automatic,8.74
Kia,Seltos,"49,226",First,2020,Petrol,16.5,Automatic,8.74
Toyota,Urban,"9,859",First,2020,Petrol,18.7,FWD,12.28
Honda,Amaze,"19,085",First,2018,Petrol,19,Automatic,8.15
Hyundai,Elite,"4,631",First,2019,Petrol,18.6,Manual,7.34
Hyundai,i10,"62,954",Second,2013,Petrol,20.63,Manual,3.02
Hyundai,Grand,"65,235",First,2017,Diesel,24.95,Manual,5.26
Hyundai,Santro,"22,099",First,2019,Petrol,FWD,BS,5.33
Hyundai,Elite,"60,902",Second,2017,Petrol,FWD,No,6.9
Maruti,Suzuki,"45,169",First,2019,Petrol,22.74,Manual,3.69
Maruti,Suzuki,"43,149",First,2013,Petrol,15,3539,2.83
Maruti,Suzuki,"18,099",Second,2018,Petrol,23.1,AMT,4.83
Maruti,Suzuki,"33,166",First,2013,Petrol,19.1,Manual,4.49
